,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1372,1.71,Very Good,F,VS1,EX,EX,GIA,17685
1373,1.54,Good,H,SI1,EX,VG,GIA,9048
1374,2.22,Ideal,F,VVS2,EX,EX,GIA,41659
1375,2.19,Very Good,I,SI1,VG,G,GIA,14819
1376,1.0,Very Good,G,VS1,VG,VG,GIA,6549
1377,1.51,Very Good,G,SI1,VG,G,GIA,9664
1378,2.0,Very Good,F,VS1,EX,VG,GIA,30446
1379,1.02,Very Good,H,VS1,VG,G,GIA,5598
1380,2.01,Ideal,I,VS2,VG,VG,GIA,16564
1381,1.21,Very Good,F,VS2,G,VG,GIA,8353
1382,1.03,Ideal,G,VVS2,EX,EX,GIA,8493
1383,1.06,Ideal,G,VVS2,VG,VG,GIA,8218
1384,0.77,Ideal,I,SI1,VG,EX,GIA,2475
1385,2.01,Very Good,H,VS2,G,G,GIA,20061
1386,1.07,Ideal,H,VS1,EX,EX,GIA,6479
1387,1.0,Good,H,VS2,VG,G,GIA,5254
1388,1.01,Ideal,F,VS1,VG,EX,GIA,7519
1389,0.91,Good,H,SI1,G,G,GIA,3855
1390,2.01,Good,I,SI1,VG,G,GIA,15371
1391,2.0,Very Good,G,SI1,VG,VG,GIA,18818
1392,1.5,Ideal,G,VS1,EX,EX,GIA,16171
1393,0.91,Very Good,E,SI1,EX,EX,GIA,4191
1394,0.88,Ideal,F,SI1,EX,EX,GIA,4054
1395,1.2,Very Good,I,VS2,VG,VG,GIA,5869
1396,1.19,Ideal,G,VS1,EX,EX,GIA,9918
1397,1.26,Ideal,E,SI1,EX,EX,GIA,8574
1398,1.22,Signature-Ideal,H,VVS2,ID,ID,AGSL,9366
1399,1.06,Ideal,I,VS2,ID,ID,AGSL,5116
1400,0.8,Ideal,F,VS2,EX,EX,GIA,4043
1401,0.92,Good,E,VVS2,VG,G,GIA,5262
1402,1.1,Very Good,F,SI1,VG,VG,GIA,5667
1403,1.33,Very Good,F,SI1,EX,VG,GIA,8081
1404,1.51,Good,G,SI1,VG,G,GIA,10085
1405,1.01,Fair,I,VS2,VG,G,GIA,4299
1406,2.18,Good,F,VS2,G,VG,GIA,30175
1407,1.02,Ideal,G,SI1,EX,VG,GIA,5016
1408,2.08,Ideal,I,VS2,VG,VG,GIA,16950
1409,1.04,Ideal,E,VS2,EX,VG,GIA,7425
1410,2.04,Ideal,G,SI1,VG,VG,GIA,18663
1411,2.12,Ideal,E,VS2,VG,VG,GIA,30687
1412,1.27,Ideal,G,IF,VG,EX,GIA,11157
1413,1.21,Signature-Ideal,G,VS1,ID,ID,AGSL,10685
1414,0.91,Fair,G,VS2,EX,VG,GIA,5151
1415,1.21,Ideal,D,VVS2,EX,EX,GIA,12657
1416,1.04,Ideal,G,VS1,EX,EX,GIA,7375
1417,1.22,Signature-Ideal,D,VS2,ID,ID,AGSL,11704
1418,1.17,Ideal,G,VS1,VG,VG,GIA,7447
1419,1.15,Very Good,I,VS2,VG,VG,GIA,5352
1420,0.82,Ideal,F,SI1,EX,EX,GIA,3596
1421,1.25,Ideal,G,IF,ID,ID,AGSL,11511
1422,1.11,Signature-Ideal,I,SI1,ID,ID,AGSL,6090
1423,1.2,Signature-Ideal,G,VVS2,ID,ID,AGSL,11530
1424,2.5,Ideal,I,SI1,VG,VG,GIA,20009
1425,2.01,Very Good,D,VS2,VG,VG,GIA,29686
1426,2.07,Ideal,H,VS2,EX,EX,GIA,20737
1427,1.5,Ideal,G,VS1,EX,VG,GIA,14067
1428,1.5,Ideal,D,VVS1,EX,EX,GIA,25406
1429,0.75,Ideal,H,SI1,EX,VG,GIA,3017
1430,1.0,Very Good,E,VS2,EX,EX,GIA,7607
1431,0.91,Very Good,F,VS1,VG,VG,GIA,4972
1432,1.72,Very Good,G,VVS1,VG,VG,GIA,17857
1433,1.72,Ideal,G,VS2,EX,EX,GIA,16472
1434,0.9,Very Good,G,VS1,EX,ID,AGSL,5148
1435,1.51,Ideal,I,VS1,EX,EX,GIA,12055
1436,0.83,Very Good,D,VS1,G,G,AGSL,3984
1437,2.07,Good,D,VVS1,VG,G,GIA,45392
1438,1.09,Good,G,SI1,VG,VG,GIA,5672
1439,1.01,Good,G,SI1,VG,VG,GIA,4661
1440,2.05,Very Good,G,VS1,VG,VG,AGSL,29396
1441,1.04,Very Good,G,VVS2,G,VG,GIA,7481
1442,0.79,Very Good,F,SI1,EX,VG,GIA,3047
1443,1.07,Ideal,E,VVS2,EX,EX,GIA,10453
1444,1.01,Ideal,I,VS2,EX,EX,GIA,5119
1445,2.07,Ideal,G,SI1,EX,EX,GIA,21316
1446,0.77,Ideal,E,SI1,VG,VG,GIA,3000
1447,0.76,Very Good,I,VS1,EX,EX,GIA,2601
1448,0.91,Ideal,F,VS2,EX,VG,GIA,5085
1449,1.09,Ideal,F,VS1,EX,EX,GIA,8730
1450,1.28,Ideal,G,VS1,ID,ID,AGSL,9342
1451,2.1,Ideal,G,VS1,VG,VG,GIA,28482
1452,1.66,Ideal,H,VS1,EX,EX,GIA,15210
1453,0.87,Very Good,G,VS2,G,VG,GIA,3178
1454,1.51,Very Good,G,VS2,VG,VG,GIA,14530
1455,1.01,Good,G,VS2,EX,EX,GIA,5655
1456,1.28,Very Good,H,VS2,VG,VG,GIA,7169
1457,0.9,Good,G,VS2,VG,VG,GIA,3990
1458,1.01,Very Good,G,VS2,EX,EX,GIA,6406
1459,1.73,Ideal,G,VVS1,EX,VG,GIA,16153
1460,1.01,Very Good,E,SI1,G,VG,GIA,4788
1461,2.01,Very Good,F,SI1,G,VG,GIA,21558
1462,2.2,Very Good,E,VVS1,EX,VG,GIA,52558
1463,1.0,Very Good,G,IF,VG,VG,GIA,8050
1464,1.01,Ideal,F,IF,EX,VG,GIA,10688
1465,2.0,Very Good,E,VVS2,G,VG,GIA,37278
1466,1.36,Ideal,D,VS1,VG,EX,GIA,13725
1467,1.03,Ideal,D,IF,EX,EX,GIA,17991
1468,0.83,Very Good,I,VVS1,EX,EX,GIA,3774
1469,2.0,Very Good,F,VS1,VG,VG,GIA,29840
1470,1.02,Ideal,G,VS2,EX,EX,GIA,6648
1471,1.02,Ideal,H,SI1,ID,ID,AGSL,5505
1472,2.1,Ideal,G,VS1,EX,EX,GIA,28587
1473,0.79,Good,F,VS1,VG,VG,AGSL,3436
1474,2.01,Good,H,VS2,VG,G,GIA,18640
1475,1.0,Very Good,D,VS2,VG,EX,GIA,7361
1476,0.9,Very Good,D,SI1,VG,G,GIA,4537
1477,0.76,Very Good,G,VVS2,ID,ID,AGSL,3655
1478,1.52,Very Good,H,SI1,VG,VG,GIA,10010
1479,0.75,Very Good,D,SI1,VG,G,GIA,3048
1480,2.02,Good,F,VS1,G,G,GIA,27311
1481,0.77,Very Good,I,VS1,VG,VG,GIA,2750
1482,0.8,Ideal,E,VS1,VG,EX,GIA,4086
1483,1.51,Ideal,D,VS1,ID,ID,AGSL,16688
1484,1.23,Ideal,I,VS1,EX,EX,GIA,7181
1485,1.11,Ideal,F,VS2,EX,EX,GIA,7740
1486,1.29,Ideal,G,VS2,EX,VG,GIA,9465
1487,2.02,Ideal,G,VS2,EX,EX,GIA,25986
1488,1.01,Very Good,E,VS2,VG,G,GIA,6480
1489,0.83,Ideal,E,SI1,VG,VG,GIA,3538
1490,2.01,Very Good,E,VS1,VG,VG,GIA,35302
1491,1.24,Very Good,E,VS1,VG,G,GIA,10185
1492,0.9,Very Good,I,VS1,VG,VG,GIA,3844
1493,1.52,Ideal,I,SI1,ID,ID,AGSL,9067
1494,0.9,Good,E,VS2,VG,VG,GIA,4315
1495,0.76,Very Good,G,VS1,VG,G,AGSL,2818
1496,1.21,Very Good,G,VVS2,EX,VG,GIA,9358
1497,1.11,Ideal,D,VVS2,VG,VG,GIA,12016
1498,1.01,Good,F,SI1,VG,G,GIA,4816
1499,1.0,Good,G,VS2,VG,G,GIA,5081
1500,2.06,Ideal,D,VS1,EX,EX,GIA,34712
1501,1.0,Very Good,F,VVS1,VG,G,GIA,9870
1502,1.25,Ideal,G,IF,EX,EX,GIA,11233
1503,2.17,Ideal,I,SI1,EX,EX,GIA,16901
1504,2.37,Ideal,F,VS2,EX,EX,GIA,36025
1505,0.85,Ideal,I,VS1,EX,EX,GIA,3548
1506,1.0,Good,G,VS2,VG,VG,GIA,5766
1507,2.05,Ideal,G,VS1,EX,EX,GIA,28519
1508,2.41,Very Good,G,VS1,EX,EX,GIA,36644
1509,1.24,Ideal,I,SI1,EX,EX,GIA,6381
1510,0.91,Ideal,F,SI1,EX,EX,GIA,5176
1511,1.01,Very Good,G,VS1,VG,EX,GIA,7179
1512,1.01,Good,G,VS2,VG,VG,GIA,5770
1513,1.56,Ideal,I,VS2,ID,ID,AGSL,10333
1514,1.25,Signature-Ideal,E,VS1,ID,ID,AGSL,12869
1515,1.19,Signature-Ideal,F,VS1,ID,ID,AGSL,10572
1516,2.13,Ideal,G,VVS1,EX,EX,GIA,36372
1517,2.12,Ideal,G,VS2,ID,ID,AGSL,26221
1518,1.61,Ideal,F,SI1,ID,ID,AGSL,11844
1519,1.54,Very Good,E,VVS2,EX,VG,GIA,19810
1520,1.42,Very Good,G,VVS2,EX,VG,GIA,12891
1521,2.0,Ideal,H,VVS1,EX,VG,GIA,26746
1522,0.9,Very Good,F,SI1,VG,EX,GIA,3950
1523,1.02,Very Good,H,SI1,EX,EX,GIA,5259
1524,1.35,Ideal,H,IF,VG,EX,GIA,10067
1525,0.9,Very Good,G,SI1,EX,VG,GIA,3752
1526,2.0,Very Good,G,VS1,VG,VG,GIA,26869
1527,2.01,Ideal,G,SI1,VG,VG,GIA,18339
1528,1.15,Signature-Ideal,E,VS1,EX,EX,GIA,11014
1529,2.04,Ideal,I,SI1,VG,VG,GIA,16036
1530,1.01,Good,G,VS2,EX,EX,GIA,6126
1531,2.19,Ideal,G,VVS1,EX,EX,GIA,35051
1532,0.92,Good,I,SI1,G,G,GIA,3329
1533,1.39,Ideal,D,SI1,ID,ID,AGSL,9519
1534,2.02,Very Good,G,SI1,VG,G,GIA,21075
1535,1.18,Ideal,F,VVS2,ID,ID,AGSL,10324
1536,1.0,Very Good,F,VVS2,VG,VG,GIA,9248
1537,0.82,Ideal,D,VS2,EX,EX,GIA,4628
1538,1.02,Very Good,F,SI1,EX,VG,AGSL,5386
1539,0.9,Very Good,D,SI1,VG,G,GIA,4537
1540,0.75,Ideal,D,VS2,ID,ID,AGSL,3679
1541,1.57,Ideal,H,VS2,VG,EX,GIA,12004
1542,2.03,Ideal,F,VS2,EX,EX,GIA,26365
1543,1.72,Ideal,E,VS2,VG,EX,GIA,19920
1544,0.9,Ideal,F,SI1,EX,VG,GIA,4795
1545,0.88,Very Good,F,VVS2,VG,VG,GIA,5052
1546,0.75,Very Good,D,SI1,G,G,GIA,3046
1547,2.01,Good,I,VS2,VG,VG,GIA,15147
1548,1.15,Very Good,E,VS1,VG,G,GIA,8906
1549,1.24,Ideal,H,VS1,EX,EX,GIA,8299
1550,1.0,Very Good,E,SI1,VG,VG,GIA,5571
1551,1.15,Ideal,G,VS1,VG,EX,GIA,8109
1552,1.02,Good,H,SI1,VG,G,GIA,4654
1553,1.01,Fair,E,SI1,VG,VG,GIA,5085
1554,2.01,Ideal,D,VS1,VG,VG,GIA,37701
1555,1.36,Very Good,G,IF,EX,VG,GIA,12515
1556,1.11,Very Good,G,VS1,EX,EX,GIA,8129
1557,1.8,Ideal,G,VS2,EX,EX,GIA,20343
1558,1.04,Very Good,G,IF,VG,G,GIA,8225
1559,1.04,Ideal,H,SI1,EX,EX,GIA,6458
1560,1.21,Ideal,I,VS1,ID,ID,AGSL,6418
1561,0.92,Ideal,H,SI1,EX,EX,GIA,4325
1562,0.82,Ideal,I,VS2,VG,VG,GIA,2759
1563,1.01,Good,E,SI1,EX,VG,GIA,4713
1564,1.24,Ideal,H,VVS1,ID,ID,AGSL,8693
1565,0.77,Good,I,VS1,VG,G,AGSL,2184
1566,0.93,Very Good,G,VS2,VG,VG,GIA,5181
1567,0.81,Ideal,E,SI1,EX,VG,GIA,3109
1568,1.24,Ideal,G,VS2,EX,VG,GIA,8797
1569,2.01,Ideal,F,VS2,VG,VG,GIA,27241
1570,0.9,Fair,D,SI1,VG,VG,GIA,4105
1571,1.81,Ideal,G,VVS2,EX,EX,GIA,24561
1572,0.81,Good,I,VS1,G,G,GIA,3042
1573,2.0,Very Good,D,VS1,EX,VG,GIA,30542
1574,0.9,Very Good,D,SI1,EX,VG,GIA,4799
1575,2.01,Very Good,F,SI1,G,VG,GIA,19789
1576,1.05,Very Good,G,SI1,ID,ID,AGSL,5197
1577,1.24,Very Good,G,VS1,VG,EX,GIA,9738
1578,0.9,Good,H,VS1,VG,VG,GIA,3796
1579,2.15,Ideal,I,VS2,EX,EX,GIA,19592
1580,0.82,Very Good,I,SI1,G,VG,GIA,2602
1581,1.1,Good,G,SI1,VG,VG,GIA,5468
1582,1.35,Ideal,H,SI1,VG,G,GIA,7780
1583,1.0,Very Good,F,VS2,EX,EX,GIA,6267
1584,0.75,Very Good,D,VVS1,G,VG,GIA,5239
1585,1.09,Very Good,F,SI1,VG,G,GIA,5463
1586,1.22,Ideal,G,VS1,ID,ID,AGSL,9339
1587,0.84,Very Good,I,VVS2,EX,ID,AGSL,3392
1588,1.8,Very Good,I,SI1,VG,G,GIA,11793
1589,1.14,Very Good,H,VS2,VG,VG,GIA,6103
1590,1.07,Signature-Ideal,F,SI1,EX,EX,GIA,7357
1591,1.23,Ideal,I,SI1,EX,EX,GIA,6449
1592,2.01,Good,I,VS2,EX,EX,GIA,16304
1593,1.03,Ideal,E,VVS2,VG,VG,GIA,9712
1594,1.07,Signature-Ideal,G,VS1,ID,ID,AGSL,8456
1595,1.68,Ideal,G,VS1,VG,EX,GIA,16985
1596,1.01,Ideal,D,VVS2,ID,ID,AGSL,11082
1597,1.29,Ideal,D,VS2,EX,EX,GIA,11182
1598,1.23,Very Good,G,VS1,G,G,GIA,8494
1599,1.01,Very Good,I,SI1,EX,VG,GIA,4794
1600,1.01,Ideal,I,VS1,EX,VG,GIA,5182
1601,2.06,Ideal,E,SI1,VG,G,GIA,24226
1602,1.2,Good,I,VS1,VG,VG,GIA,5600
1603,1.01,Very Good,H,SI1,VG,VG,GIA,4868
1604,1.5,Ideal,G,VS2,ID,ID,AGSL,13135
1605,0.77,Very Good,D,VS2,G,VG,GIA,3787
1606,1.61,Very Good,G,SI1,VG,G,GIA,12028
1607,1.01,Very Good,E,VS2,EX,EX,GIA,6754
1608,1.01,Good,G,VS2,EX,G,AGSL,5614
1609,2.02,Very Good,I,VS2,G,G,GIA,15759
1610,0.9,Good,F,VS2,VG,EX,GIA,4268
1611,0.76,Signature-Ideal,I,VS2,EX,EX,GIA,3075
1612,0.78,Ideal,G,VS1,EX,EX,GIA,3147
1613,1.11,Very Good,D,VVS1,VG,VG,GIA,12200
1614,1.57,Ideal,E,VVS2,VG,VG,GIA,21465
1615,1.23,Very Good,G,VVS2,EX,EX,GIA,9999
1616,2.39,Ideal,I,VS1,EX,EX,GIA,23625
1617,1.02,Very Good,H,SI1,VG,VG,GIA,4508
1618,0.88,Very Good,I,SI1,G,G,GIA,2699
1619,0.77,Ideal,I,VS1,EX,EX,GIA,2798
1620,1.51,Ideal,H,VS1,EX,EX,GIA,10186
1621,1.26,Ideal,H,VS1,EX,EX,GIA,8238
1622,1.21,Ideal,I,SI1,VG,VG,GIA,5452
1623,0.9,Ideal,E,SI1,VG,VG,GIA,4471
1624,1.24,Ideal,G,VS2,EX,EX,GIA,9209
1625,2.1,Very Good,D,SI1,VG,VG,GIA,19644
1626,1.0,Very Good,H,VS1,EX,VG,GIA,5619
1627,1.0,Ideal,F,VS1,EX,EX,GIA,7928
1628,0.76,Ideal,I,VS1,ID,ID,AGSL,2679
1629,1.01,Ideal,G,VS2,VG,EX,GIA,6449
1630,1.13,Very Good,G,VVS1,EX,EX,GIA,9357
1631,0.91,Ideal,I,VVS2,ID,ID,AGSL,4663
1632,2.03,Very Good,I,VS2,VG,VG,GIA,17297
1633,1.01,Very Good,I,SI1,EX,VG,AGSL,4243
1634,0.9,Very Good,E,SI1,VG,VG,GIA,4324
1635,1.21,Very Good,I,SI1,G,VG,GIA,5452
1636,1.28,Ideal,E,VS2,VG,VG,GIA,9568
1637,1.04,Ideal,I,IF,VG,VG,GIA,6155
1638,1.72,Ideal,F,VS2,VG,EX,GIA,17779
1639,1.52,Very Good,G,VS1,VG,VG,GIA,13492
1640,2.2,Very Good,H,VS2,EX,EX,GIA,20072
1641,2.0,Very Good,H,SI1,EX,EX,GIA,8803
1642,1.5,Ideal,F,VS2,EX,EX,GIA,13955
1643,2.2,Good,I,VS1,VG,VG,GIA,19830
1644,1.71,Ideal,D,SI1,EX,EX,GIA,16575
1645,2.0,Very Good,E,VS2,VG,VG,GIA,24530
1646,1.65,Ideal,I,SI1,EX,EX,GIA,10365
1647,1.62,Ideal,H,VVS2,VG,VG,GIA,13843
1648,1.7,Very Good,G,VS2,EX,EX,GIA,18107
1649,1.0,Good,E,VS2,G,G,GIA,6445
1650,1.0,Good,D,VS2,VG,G,GIA,6389
1651,1.72,Ideal,G,VVS2,VG,EX,GIA,19353
1652,1.53,Ideal,G,SI1,EX,VG,GIA,10947
1653,2.01,Very Good,H,VS2,VG,G,GIA,19044
1654,1.21,Good,E,SI1,VG,VG,GIA,6861
1655,1.17,Very Good,H,IF,G,G,GIA,7644
1656,2.04,Very Good,I,VS1,G,G,GIA,18127
1657,1.22,Very Good,G,VVS1,VG,G,GIA,10529
1658,0.9,Very Good,I,VS1,VG,VG,GIA,3880
1659,1.04,Ideal,G,VS1,EX,EX,GIA,7467
1660,1.53,Very Good,I,SI1,EX,EX,GIA,7971
1661,1.06,Very Good,D,SI1,G,G,GIA,5893
1662,1.04,Ideal,G,VVS2,EX,EX,GIA,8515
1663,2.48,Ideal,D,VVS1,EX,EX,GIA,67382
1664,0.8,Ideal,H,IF,EX,VG,GIA,3831
1665,1.12,Ideal,H,IF,EX,VG,GIA,7971
1666,1.01,Very Good,G,VVS2,G,G,GIA,7226
1667,2.09,Ideal,D,VS1,EX,EX,GIA,38627
1668,1.54,Ideal,F,VS1,VG,VG,GIA,17194
1669,0.92,Good,I,VS2,G,G,GIA,3785
1670,1.45,Very Good,I,IF,EX,VG,GIA,9683
1671,2.48,Very Good,F,VVS1,VG,VG,GIA,50585
1672,1.2,Very Good,I,SI1,EX,EX,GIA,5955
1673,0.83,Ideal,G,VS2,EX,EX,GIA,3849
1674,1.0,Very Good,H,SI1,EX,VG,GIA,5161
1675,2.43,Very Good,E,VS1,VG,VG,GIA,44379
1676,1.02,Ideal,H,SI1,EX,EX,GIA,5301
1677,0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3702
1678,1.0,Very Good,E,SI1,VG,G,GIA,5718
1679,2.08,Very Good,I,VS2,VG,VG,GIA,16664
1680,0.92,Ideal,I,VS2,VG,VG,GIA,3679
1681,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079
1682,0.76,Ideal,D,SI1,VG,VG,GIA,3075
1683,0.77,Very Good,I,VS2,VG,VG,GIA,2513
1684,1.52,Ideal,I,IF,EX,EX,GIA,12847
1685,2.09,Ideal,G,VS2,G,G,GIA,26058
1686,1.27,Ideal,H,VS1,EX,EX,GIA,8652
1687,1.01,Good,G,SI1,VG,VG,GIA,4781
1688,0.75,Very Good,I,VVS2,ID,ID,AGSL,2744
1689,2.07,Ideal,F,VS1,EX,EX,GIA,33687
1690,2.5,Ideal,H,VS2,EX,EX,GIA,29223
1691,1.71,Ideal,I,SI1,VG,EX,GIA,10668
1692,1.52,Very Good,G,SI1,EX,VG,GIA,11014
1693,2.17,Very Good,I,SI1,EX,VG,GIA,15760
1694,1.3,Ideal,I,IF,EX,VG,GIA,8027
1695,1.22,Ideal,H,VVS2,VG,EX,GIA,7835
1696,0.9,Very Good,G,IF,EX,VG,GIA,5754
1697,2.66,Ideal,G,VVS1,EX,VG,GIA,46861
1698,2.16,Ideal,G,VS2,EX,EX,GIA,27874
1699,2.05,Ideal,D,VS2,EX,EX,GIA,31298
1700,1.02,Very Good,G,VS1,EX,VG,GIA,6622
1701,1.01,Very Good,G,VS2,EX,VG,GIA,5944
1702,1.0,Good,H,SI1,VG,G,GIA,4447
1703,1.01,Very Good,E,VS2,VG,G,GIA,6522
1704,2.01,Ideal,F,SI1,EX,EX,GIA,22373
1705,1.11,Very Good,F,VS1,G,G,GIA,8233
1706,1.06,Ideal,F,VS2,EX,EX,GIA,7641
1707,1.14,Very Good,I,SI1,VG,VG,GIA,4973
1708,1.36,Signature-Ideal,H,SI1,EX,EX,GIA,8989
1709,1.2,Very Good,I,VS2,VG,VG,GIA,5986
1710,2.02,Good,I,VS2,VG,G,GIA,16593
1711,1.51,Ideal,I,VS2,VG,VG,GIA,9337
1712,1.23,Ideal,H,VS1,EX,EX,GIA,7803
1713,0.9,Very Good,F,VS1,EX,VG,GIA,5167
1714,1.02,Very Good,D,SI1,VG,G,GIA,5778
1715,2.1,Ideal,H,VS2,ID,ID,AGSL,22093
1716,2.02,Ideal,G,VS1,VG,VG,GIA,24579
1717,1.5,Very Good,F,VS2,EX,EX,GIA,13537
1718,1.5,Good,I,VS1,G,VG,GIA,9278
1719,0.96,Fair,E,SI1,VG,VG,GIA,4308
1720,1.1,Very Good,G,VS2,G,VG,GIA,7406
1721,1.13,Ideal,H,SI1,EX,VG,GIA,5671
1722,1.51,Very Good,G,VVS2,EX,EX,GIA,15110
1723,1.06,Very Good,H,SI1,EX,EX,GIA,5664
1724,2.07,Very Good,F,VS1,VG,G,GIA,29735
1725,1.25,Ideal,F,IF,VG,VG,GIA,14551
1726,1.51,Ideal,D,VVS2,ID,ID,AGSL,20613
1727,1.01,Ideal,F,VS2,EX,EX,GIA,7338
1728,0.75,Very Good,E,SI1,EX,EX,GIA,2993
1729,1.5,Ideal,I,VS2,ID,ID,AGSL,10181
1730,1.51,Very Good,G,SI1,EX,VG,GIA,10947
1731,1.16,Very Good,G,VVS1,G,VG,GIA,9023
1732,1.02,Very Good,F,VS1,VG,EX,GIA,7010
1733,1.21,Ideal,H,VVS2,ID,ID,AGSL,7954
1734,1.08,Very Good,F,VVS2,G,VG,GIA,8221
1735,0.94,Very Good,H,VS1,EX,VG,GIA,4556
1736,1.74,Very Good,D,SI1,G,VG,GIA,16286
1737,2.0,Good,H,VS1,EX,EX,GIA,17440
1738,1.04,Very Good,D,VS2,ID,EX,AGSL,7653
1739,1.5,Very Good,H,VS1,EX,EX,GIA,12152
1740,1.51,Good,I,SI1,G,VG,GIA,7461
1741,1.34,Very Good,H,VVS2,VG,VG,GIA,9735
1742,1.02,Very Good,G,SI1,VG,VG,GIA,4624
1743,1.0,Ideal,F,SI1,EX,EX,GIA,5115
1744,1.0,Good,G,SI1,VG,VG,GIA,4661
1745,1.17,Ideal,G,VVS2,EX,EX,GIA,9142
1746,1.22,Ideal,H,VS1,VG,EX,GIA,7418
1747,0.9,Very Good,D,VS2,VG,VG,GIA,4981
1748,1.08,Ideal,I,SI1,EX,EX,GIA,4705
1749,1.12,Ideal,D,SI1,G,G,GIA,7153
1750,1.16,Ideal,F,VS2,EX,EX,GIA,9432
1751,2.05,Ideal,G,IF,VG,G,GIA,34736
1752,0.81,Ideal,D,SI1,VG,VG,GIA,4053
1753,0.9,Very Good,G,VS2,G,VG,GIA,4276
1754,2.02,Good,G,SI1,VG,G,GIA,19466
1755,2.13,Very Good,G,VS2,VG,G,GIA,25921
1756,1.01,Ideal,D,IF,EX,EX,GIA,19146
1757,0.87,Very Good,D,SI1,G,G,GIA,3664
1758,1.13,Signature-Ideal,H,VS2,EX,EX,GIA,7464
1759,2.02,Very Good,F,VS2,VG,G,GIA,26435
1760,2.09,Ideal,F,SI1,ID,ID,AGSL,22280
1761,1.01,Very Good,E,VS2,EX,VG,GIA,6456
1762,0.9,Very Good,I,SI1,VG,VG,GIA,3407
1763,1.17,Ideal,F,VVS1,ID,ID,AGSL,11029
1764,1.19,Ideal,H,VS2,EX,EX,GIA,7633
1765,2.22,Ideal,G,VS1,EX,EX,GIA,32516
1766,1.5,Very Good,E,SI1,VG,G,GIA,12000
1767,0.95,Very Good,D,SI1,G,G,GIA,5101
1768,1.51,Very Good,E,VS2,VG,G,GIA,12779
1769,1.15,Ideal,H,VS2,EX,EX,GIA,6772
1770,1.02,Ideal,G,VS2,ID,ID,AGSL,6499
1771,0.9,Very Good,G,VS1,VG,VG,GIA,4813
1772,2.2,Ideal,D,VS2,VG,VG,GIA,32780
1773,1.11,Ideal,G,VVS1,EX,EX,GIA,9345
1774,1.2,Ideal,E,VVS2,VG,VG,GIA,11883
1775,1.51,Very Good,I,VS1,VG,VG,GIA,10231
1776,0.9,Good,G,VS2,EX,G,GIA,4291
1777,1.09,Ideal,H,VS2,ID,ID,AGSL,5732
1778,1.57,Very Good,D,SI1,EX,EX,GIA,12697
1779,1.01,Ideal,D,SI1,EX,EX,GIA,6257
1780,2.2,Ideal,F,IF,EX,EX,GIA,48845
1781,0.9,Very Good,I,VS2,VG,VG,GIA,3605
1782,1.58,Ideal,H,VS2,EX,VG,GIA,11419
1783,2.15,Very Good,G,VS2,EX,EX,GIA,25538
1784,2.01,Very Good,G,SI1,EX,VG,GIA,19079
1785,2.15,Very Good,I,VS2,VG,VG,GIA,17774
1786,1.51,Good,F,VS2,G,G,GIA,13010
1787,2.22,Very Good,H,SI1,VG,VG,GIA,20073
1788,1.27,Ideal,G,VS2,EX,EX,GIA,9489
1789,1.32,Very Good,H,VVS2,VG,VG,GIA,9513
1790,1.04,Ideal,G,VS2,VG,VG,GIA,6468
1791,1.07,Very Good,G,VS2,VG,G,GIA,6274
1792,0.83,Ideal,H,VS1,ID,ID,AGSL,3433
1793,0.77,Very Good,D,SI1,EX,EX,GIA,3040
1794,1.05,Ideal,I,SI1,EX,EX,GIA,4516
1795,1.52,Ideal,H,SI1,ID,ID,AGSL,11797
1796,1.19,Good,H,VS1,EX,EX,GIA,7152
1797,0.77,Very Good,F,VS2,VG,EX,GIA,3500
1798,1.01,Ideal,D,IF,EX,VG,GIA,17458
1799,1.55,Ideal,G,VVS2,EX,EX,GIA,15979
1800,2.05,Ideal,I,SI1,VG,VG,GIA,15629
1801,2.0,Very Good,F,SI1,G,G,GIA,18759
1802,1.51,Very Good,F,VVS2,EX,EX,GIA,17203
1803,2.08,Very Good,H,VS1,ID,ID,AGSL,23041
1804,2.23,Ideal,I,VVS2,EX,EX,GIA,22328
1805,1.29,Ideal,H,VS2,ID,ID,AGSL,8482
1806,2.01,Good,H,SI1,VG,VG,GIA,14968
1807,1.2,Ideal,D,SI1,EX,EX,GIA,8037
1808,2.14,Ideal,I,SI1,EX,EX,GIA,17213
1809,1.62,Ideal,I,VVS1,EX,EX,GIA,12186
1810,1.11,Ideal,F,VS2,EX,VG,GIA,8347
1811,1.5,Good,E,VS2,VG,VG,GIA,12649
1812,1.01,Very Good,H,VS2,G,G,GIA,5861
1813,2.07,Very Good,H,VS2,EX,EX,AGSL,19602
1814,1.0,Fair,F,VS2,G,G,GIA,6210
1815,1.14,Very Good,D,SI1,EX,EX,GIA,6464
1816,1.2,Good,G,VS2,VG,VG,GIA,6793
1817,1.2,Ideal,F,VVS1,EX,EX,GIA,11840
1818,0.9,Ideal,I,SI1,EX,EX,GIA,3537
1819,2.26,Ideal,F,VS1,EX,G,GIA,35200
1820,1.2,Ideal,G,VS1,EX,EX,GIA,9625
1821,1.3,Ideal,I,SI1,VG,VG,GIA,6451
1822,1.01,Ideal,F,VS1,EX,VG,GIA,6945
1823,1.53,Ideal,F,SI1,ID,ID,AGSL,12616
